phase,case,batch,seq_or_cache,latency_median_ms,latency_mean_ms,speedup_vs_hf,ok_count,source,ms_per_b_cache,ms_per_b,ms_per_b_s,ms_per_b_s2
prefill_full_layer,official,1,128,1.0198398182789485,1.0126000593623354,0.74162446646012,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.007967498580304285,6.224608265862723e-05
prefill_full_layer,official,1,512,1.0192317034428318,1.0248524162711368,0.7503184131854679,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0019906869207867808,3.888060392161681e-06
prefill_full_layer,official,1,1024,1.056906650774181,1.0602485466127594,0.8461381487638712,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.001032135401146661,1.0079447276822862e-06
prefill_full_layer,official,8,128,1.0276315345739326,1.033108191525874,0.7783513191651206,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.001003546420482356,7.840206410018407e-06
prefill_full_layer,official,8,512,1.7694228639205298,1.769196073938575,1.0074884073049328,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0004319880038868481,8.437265700915002e-07
prefill_full_layer,official,8,1024,3.6624716594815254,3.6673568489883714,0.9618197382918814,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0004470790599953034,4.3660064452666347e-07
prefill_full_layer,official,32,128,1.7688611599927146,1.76966378704593,0.9450415783620304,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.00043185086913884635,3.373834915147237e-06
prefill_full_layer,official,32,512,8.081754669547081,8.081656222606801,0.940050185620997,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0004932711590299732,9.634202324804164e-07
prefill_full_layer,official,32,1024,18.929817364551127,18.925939586349866,0.9379645894301424,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0005776921803146706,5.641525198385455e-07
prefill_full_layer,official_fused_both,1,128,0.8960258370886247,0.8970871098831089,0.8441030713616605,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0070002018522548805,5.4689076970741254e-05
prefill_full_layer,official_fused_both,1,512,0.9334043522054951,0.9184727467881102,0.8193108512817203,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0018230553754013576,3.5606550300807766e-06
prefill_full_layer,official_fused_both,1,1024,0.9457760024815798,0.9440029033511463,0.9455611419150024,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0009236093774234178,9.019622826400564e-07
prefill_full_layer,official_fused_both,8,128,0.9095960219080249,0.9173608074585596,0.8793556054406056,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0008882773651445556,6.9396669151918404e-06
prefill_full_layer,official_fused_both,8,512,1.5090946884204945,1.5096383867785335,1.1812863942196206,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0003684313204151598,7.19592422685859e-07
prefill_full_layer,official_fused_both,8,1024,3.0243426638965807,3.0338110227603465,1.164761379415045,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.00036918245408893807,3.605297403212286e-07
prefill_full_layer,official_fused_both,32,128,1.6918008526166282,1.6897605285824586,0.9880875399473581,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0004130373175333565,3.2268540432293475e-06
prefill_full_layer,official_fused_both,32,512,6.566470372490585,6.5678418242088,1.1569769672728367,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.00040078554519595855,7.827842679608565e-07
prefill_full_layer,official_fused_both,32,1024,14.73265397362411,14.731730251999883,1.2051798952256987,48,results_npu/attention_scope_aligned/single_layer_aligned_all48.json,,,0.0004496049186286655,4.390673033483061e-07
